# chekhov-10 いとしい人（96段落）

## p001（3セグメント）
[4] 三日たつと、プストヴァーロフ自身も訪ねてきた。長くは座らず、十分ほどで、口もあまりきかなかったが、オーレンカは彼を愛するようになった。ひと晩じゅう眠れず、熱病のように体が熱くなるほど愛してしまい、朝になるとあの年配の婦人を迎えにやった。
[5] じきに縁談がまとまり、それから婚礼になった。

## p032（2セグメント）
[0] プストヴァーロフとオーレンカは、夫婦になって、暮らしはよかった。
[1] 彼はたいてい昼食まで材木置場に詰め、それから用で出かけ、あとをオーレンカが代わった。彼女は夕方まで事務所に座って、そこで勘定を書き、品物を渡した。

## p033（5セグメント）
[0] 「いま材木は毎年二十パーセントずつ高くなっているんですよ」と、彼女は買い手や知り合いに言った。
[1] 「考えてもごらんなさい、前はこの土地の材木を商っていましたけれど、いまはヴァーシチカが毎年モギリョーフ県まで材木を買いに行かなければならないんです。
[2] それにあの運賃！」
[3] と彼女は怖ろしそうに両手で両の頬をおおって言った。
[4] 「あの運賃！」

## p034（2セグメント）
[0] 彼女には、自分がもうずいぶんずいぶん前から材木を商っているように思われ、人生でいちばん大事で必要なものは材木であり、こういう言葉には何か身内のような、胸に迫るものが聞き取れた——梁材、丸太、挽き板、羽目板、無名板、桟木、角材、背板……
[1] 夜、眠っているあいだ、彼女は板や挽き板の山をまるごと夢に見た。材木を町の外のどこか遠くへ運んでいく荷馬車の、長い、果てしない列を夢に見た。十二アルシン、五ヴェルショークの丸太が一個連隊まるごと、立ったまま材木置場へ攻め寄せてくるのを、丸太や梁材や背板がぶつかり合って、乾いた木のうつろな音を立て、みんな倒れてはまた起き上がり、互いの上へ積み重なっていくのを夢に見た。オーレンカは夢のなかで叫び声をあげ、プストヴァーロフはやさしく言った。

## p035（2セグメント）
[0] 「オーレンカ、どうしたんだ、大事な人？
[1] 十字を切るんだ！」

## p036（3セグメント）
[0] 夫の考えが、そのまま彼女の考えだった。
[1] 部屋が暑いとか、商売がいまは静かになったとか、彼がそう思えば、彼女もそう思った。
[2] 夫はどんな遊びも好まず、祭日には家にいて、彼女もそうだった。

## p037（2セグメント）
[0] 「あなたはいつも家か事務所ばかりですね」と、知り合いは言った。
[1] 「芝居へでも行ってみたらいいのに、いとしい人、それともサーカスへでも」

## p038（3セグメント）
[0] 「あたしとヴァーシチカは芝居なんぞへ行くひまはありません」と、彼女は重々しく答えた。
[1] 「あたしたちは働く人間です。くだらないことにかまっていられません。
[2] あんな芝居のどこがいいんでしょう？」

## p039（4セグメント）
[0] 土曜日にはプストヴァーロフと彼女は徹夜祷に、祭日には早朝の礼拝に通い、教会から帰るときは、しんみりとした顔で、仲よく並んで歩いた。二人からはよい匂いがして、彼女の絹の服が心地よい音を立てた。家では菓子パンといろいろな果物の砂糖煮でお茶を飲み、それからピローグを食べた。
[1] 毎日、正午には中庭にも門の外の通りにも、ボルシチと、羊か鴨の焼き肉のうまそうな匂いが流れ、斎日には魚の匂いが流れて、門の前を通る者は腹が空かずにはいられなかった。
[2] 事務所ではいつもサモワールが湯気を立てていて、買い手にはブーブリクを添えてお茶をふるまった。
[3] 週に一度、夫婦は風呂屋へ行き、二人とも赤い顔をして、並んで帰ってきた。

## p040（2セグメント）
[0] 「なに、暮らしはよろしいのですよ」と、オーレンカは知り合いに言った。「おかげさまで。
[1] どなたもあたしとヴァーシチカのように暮らせますように」

## p041（5セグメント）
[0] プストヴァーロフが材木を買いにモギリョーフ県へ出かけると、彼女はひどく寂しがって、夜は眠らず、泣いた。
[1] ときおり夕方、彼女のところへ連隊の獣医スミルニーンが来た。彼女の家の離れに間借りしている若い男だった。
[2] 彼は何か話をして聞かせたり、彼女とトランプをしたりして、それが彼女の気晴らしになった。
[3] とりわけおもしろかったのは、彼自身の家庭の話だった。彼は妻帯で息子が一人あったが、妻が浮気をしたので別れて、いまは妻を憎んでいて、息子の養育のために毎月四十ルーブルずつ送っていた。
[4] それを聞きながら、オーレンカは溜息をついて首を振り、彼を気の毒に思った。

## p042（2セグメント）
[0] 「では、神さまがあなたをお守りくださいますよう」と、彼女は彼と別れるとき、蝋燭を持って階段まで送りながら言った。
[1] 「あたしのところで退屈してくださって、ありがとう。神さまがあなたにご健康をくださいますよう、天の女王さまが……」

## p043（1セグメント）
[0] そして彼女は何を言うにも、夫を真似て、ひどく重々しく、ひどく分別くさい言い方をした。獣医はもう下の戸の向こうに姿を消しかけていたが、彼女は彼を呼びとめて言った。

## p044（3セグメント）
[0] 「ねえ、ヴラジーミル・プラトーヌィチ、あなたは奥さんと仲直りなさったらいいんですよ。
[1] 息子さんのためにでも、許してあげなさいよ！……
[2] あの坊やは、きっと何でも分かっているんですから」

## p045（1セグメント）
[0] プストヴァーロフが帰ってくると、彼女は声を落として獣医とその不幸な家庭のことを話し、二人は溜息をついて首を振り、きっと父親を恋しがっているだろうという坊やのことを話した。それから、どういう妙な考えの流れでか、二人そろって聖像の前に立ち、額を床につけて拝み、神さまが子を授けてくださるようにと祈った。

## p046（4セグメント）
[0] こうしてプストヴァーロフ夫婦は、静かに慎ましく、愛情と申し分のない和合のうちに六年を過ごした。
[1] ところがある冬、ヴァシーリイ・アンドレーイチは置場で熱いお茶をたっぷり飲んだあと、帽子もかぶらずに材木を渡しに出て、風邪をひいて病みついた。
[2] いちばんよい医者たちが治療にあたったが、病気のほうが勝って、四か月寝ついたのち、彼は死んだ。
[3] そしてオーレンカはまた寡婦になった。

## p047（4セグメント）
[0] 「おまえはあたしを誰に残して行ってしまったの、あたしのかわいい人？」
[1] と、夫を葬ってから彼女は泣いた。
[2] 「これからおまえなしでどうやって生きていけばいいの、つらい身のふしあわせなあたしは？
[3] みなさん、あたしをあわれんでください、身寄りのないみなしごを……」

## p048（4セグメント）
[0] 彼女は喪の白い縁飾りをつけた黒い服を着て歩き、帽子と手袋はもう一生やめてしまい、家を出るのはまれで、教会か夫の墓へ行くときだけで、家では修道女のように暮らした。
[1] 六か月たってやっと、彼女は縁飾りを外し、窓の鎧戸を開けるようになった。
[2] 朝には、料理女を連れて市場へ食べ物を買いに行く姿も見られるようになったが、彼女がいま家でどう暮らし、家のなかで何が起きているのかは、推し量るしかなかった。
[3] たとえば、彼女が自分の庭で獣医とお茶を飲んでいて、獣医が新聞を声に出して読んでやっているのが見られたことから、また、郵便局で知り合いの婦人に会ったときにこう言ったことから、人は推し量った。

## p049（3セグメント）
[0] 「うちの町にはきちんとした獣医の監督がありません。それだから病気が多いんです。
[1] 牛乳から人が病気になったとか、馬や牛から伝染したとか、しょっちゅう耳にします。
[2] 家畜の健康も、じつは人間の健康と同じように気をつけなければならないんです」

## p050（5セグメント）
[0] 彼女は獣医の考えをくり返していて、いまは何についても彼と同じ意見だった。
[1] 彼女が情愛なしでは一年も生きていられず、自分の家の離れで新しい幸せを見つけたのは明らかだった。
[2] ほかの女なら責められたところだが、オーレンカについては誰も悪く思うことができず、彼女の暮らしはすべてがいかにも分かりやすかった。
[3] 彼女と獣医は、二人の間柄に起きた変化のことを誰にも言わず、隠そうとしていたが、それはうまくいかなかった。オーレンカに秘密というものはありえなかったからである。
[4] 彼のところに客が——連隊の同僚たちが——来ると、彼女はお茶を注ぎ、夕食を出しながら、牛疫のこと、真珠病のこと、町の屠場のことを話しだし、彼はひどくきまり悪くなって、客が帰ると彼女の手をつかんで、腹立たしげに押し殺した声で言った。

## p051（3セグメント）
[0] 「おまえの分からないことは話さないでくれと、私は頼んだはずだぞ！
[1] われわれ獣医どうしで話しているときは、口を出さないでもらいたい。
[2] まったく、うんざりだ！」

## p052（1セグメント）
[0] すると彼女は驚きと不安の目で彼を見て、こう聞いた。

## p053（1セグメント）
[0] 「ヴォロージチカ、それじゃああたしは何を話せばいいの？！」

## p054（1セグメント）
[0] そして彼女は目に涙をためて彼を抱き、腹を立てないでとせがみ、二人とも幸せだった。

## p055（3セグメント）
[0] しかしながら、この幸せは長くは続かなかった。
[1] 獣医は連隊とともに去った。永久に去ったのである。連隊がどこかたいへん遠いところ、ほとんどシベリアといってよいところへ移されたからだ。
[2] そしてオーレンカは一人になった。

## p056（6セグメント）
[0] いまはもう、彼女はまるきり一人だった。
[1] 父はもうずっと前に死んで、その肘掛け椅子は屋根裏に、埃をかぶり、脚を一本なくして転がっていた。
[2] 彼女は痩せて醜くなり、通りで行き会う人はもう前のように彼女を眺めることも、彼女に笑いかけることもなくなった。どうやらいちばんよい年月はもう過ぎて、後ろに残されてしまい、いまは何か新しい、知らない暮らしが始まろうとしていた。考えないほうがよい暮らしが。
[3] 夕方になるとオーレンカは玄関の踏み段に腰かけ、〈ティヴォリ〉で音楽が鳴り、花火が弾けるのが聞こえたが、それはもう何の思いも呼び起こさなかった。
[4] がらんとした自分の中庭をぼんやり眺め、何も考えず、何も望まず、やがて夜が来ると寝に行って、がらんとした自分の中庭を夢に見た。
[5] 食べるのも飲むのも、いやいやながらのようだった。

## p057（6セグメント）
[0] そして何より、いちばん悪いのは、彼女にもう何の意見もなくなっていたことだった。
[1] 身のまわりの物は見えていたし、まわりで起きることはみな分かっていたが、何についても意見を組み立てることができず、何を話せばよいのかも分からなかった。
[2] 何の意見も持たないというのは、なんとも怖ろしいことだ！
[3] たとえば、瓶が置いてあるのが見える、雨が降っているのが見える、百姓が荷車で行くのが見える。だが、その瓶が、雨が、百姓が何のためにあるのか、それに何の意味があるのかは言えない。千ルーブルもらっても何も言えないだろう。
[4] クーキンといたころ、プストヴァーロフといたころ、それから獣医といたころは、オーレンカは何でも説明できたし、何についてでも自分の意見を言えたのに、いまは考えのなかも胸のうちも、中庭と同じようにがらんとしていた。
[5] そして、なんともそら怖ろしく、なんとも苦い。にがよもぎを食べすぎたようだ。

## p058（9セグメント）
[0] 町は少しずつ四方へ広がっていった。ツィガーンスカヤ・スロボートカはもう通りと呼ばれ、〈ティヴォリ〉園と材木置場のあったところには、もう家が立ち並び、横町がいくつも並んでできていた。
[1] 時のたつのはなんと速いことか！
[2] オーレンカの家は黒ずみ、屋根は錆びつき、納屋は傾き、中庭はすっかり雑草ととげのある蕁麻に覆われた。
[3] オーレンカ自身も年をとり、醜くなった。夏には玄関の踏み段に腰かけ、胸のうちは相変わらずがらんとして、けだるく、にがよもぎの味がする。冬には窓辺に座って雪を眺めている。
[4] 春の気が吹いてくる、風が大聖堂の鐘の音を運んでくる、するとふいに昔の思い出が押し寄せて、胸が甘くしめつけられ、目からは涙があふれ出る。だがそれもほんの一分のことで、そのあとはまた空っぽで、何のために生きているのかも分からない。
[5] 黒い小猫のブルィスカが甘えてきて、やわらかに喉を鳴らすが、この猫の甘えはオーレンカの心を動かさない。
[6] 彼女に必要なのはこんなものだろうか？
[7] 彼女にほしいのは、存在のすべてを、魂のすべてを、理性を捉えてしまうような愛、彼女に考えを、生きる方向を与え、老いてゆく血を温めてくれるような愛だ。
[8] そして彼女は裾から黒いブルィスカを振り落として、いらだたしげに言う。

## p059（2セグメント）
[0] 「あっちへ行って、行って……
[1] ここにいることはないよ！」

## p060（2セグメント）
[0] こうして一日また一日、一年また一年と過ぎ——喜びは一つもなく、意見は何一つない。
[1] 料理女のマーヴラが言ったことが、そのままよいことになる。

## p061（3セグメント）
[0] 暑い七月のある日の夕方近く、通りを町の家畜の群れが追われて行き、中庭がすっかり埃の雲で満たされたとき、ふいに誰かがくぐり戸を叩いた。
[1] オーレンカは自分で開けに行って、ひと目見るなり立ちすくんだ。門の外に立っていたのは、もう白髪になって、平服を着た獣医のスミルニーンだった。
[2] ふいにすべてが思い出されて、彼女は我慢できずに泣きだし、ひと言も言わずに彼の胸に頭を寄せた。そして激しい動揺のあまり、そのあと二人がどうして家に入り、どうしてお茶を飲むために腰を下ろしたのかも気がつかなかった。

## p062（4セグメント）
[0] 「あたしのかわいい人！」
[1] と彼女はうれしさに震えながら口のなかで言った。
[2] 「ヴラジーミル・プラトーヌィチ！
[3] どこから神さまが運んでくださったの？」

## p063（5セグメント）
[0] 「ここにすっかり住みつきたいんです」と、彼は話した。
[1] 「退役を願い出て、それで、自由な身で運を試して、落ち着いた暮らしをしてみようと来たんですよ。
[2] それに息子もそろそろギムナジウムに入れる時期ですし。
[3] 大きくなりました。
[4] 私はね、じつは妻と仲直りしたんです」

## p064（2セグメント）
[0] 「それで、奥さんはどこに？」
[1] とオーレンカは聞いた。

## p065（1セグメント）
[0] 「妻は息子と宿屋にいます。それで私はこうして歩いて、家を探しているところです」

## p066（5セグメント）
[0] 「ああ、神さま、先生、あたしのうちをお使いなさいよ！
[1] これで家になりませんか？
[2] ああ、神さま、あなたからは何もいただきませんよ」と、オーレンカは気が立って、また泣きだした。
[3] 「ここにお住まいなさい。あたしは離れで十分です。
[4] まあ、うれしい、神さま！」

## p067（4セグメント）
[0] 翌日にはもう家の屋根を塗り、壁を白く塗っていて、オーレンカは腰に手を当てて中庭を歩きまわり、指図していた。
[1] 顔には前の笑みがともり、彼女はすっかり生き返り、みずみずしくなって、長い眠りから目を覚ましたかのようだった。
[2] 獣医の妻がやってきた。痩せた、美しくない、髪を短く切った、気むずかしそうな顔つきの婦人で、いっしょに男の子が来た。サーシャという、年のわりに小さな（もう十になろうという年だった）、ふっくらして、明るい青い目をして、頬にくぼみのある子だった。
[3] 男の子は中庭に入るなり猫を追って走りだし、すぐに陽気な、うれしそうな笑い声が聞こえた。

## p068（4セグメント）
[0] 「おばさん、これ、おばさんの猫なの？」
[1] と彼はオーレンカに聞いた。
[2] 「仔を産んだら、どうぞ仔猫を一匹ぼくたちにください。
[3] おかあさんは鼠がとても怖いんです」

## p069（2セグメント）
[0] オーレンカは男の子と話し、お茶を飲ませてやり、胸の奥の心がふいに温かくなって、甘くしめつけられた。まるでこの子が自分の産んだ息子であるかのように。
[1] そして夕方、男の子が食堂に座って復習をしているとき、彼女は胸を打たれ、いたわしそうに彼を眺めて、こうささやいた。

## p070（2セグメント）
[0] 「あたしのかわいい子、きれいな子……
[1] あたしのぼうや、よくもこんなに賢く、こんなに色白に生まれついたものねえ」

## p071（1セグメント）
[0] 「島とは」と彼は読んだ。「四方を水にかこまれた陸地の一部をいう」

## p072（2セグメント）
[0] 「島とは、陸地の一部を……」
[1] と彼女はくり返した。そしてこれが、長い年月の沈黙と、考えの空白のあとで、彼女が確信をもって口にした最初の意見だった。

## p073（1セグメント）
[0] そして彼女はもう自分の意見を持っていて、夕食の席ではサーシャの両親に向かって、いまの子どもがギムナジウムで学ぶのはどれほど大変かを話し、それでもやはり古典教育のほうが実科教育よりよい、ギムナジウムを出ればどこへでも道が開けているのだから、と話した。医者になりたければ医者に、技師になりたければ技師に、と。

## p074（2セグメント）
[0] サーシャはギムナジウムに通いはじめた。
[1] 母親はハリコフの妹のところへ行ったまま帰らず、父親は毎日どこかへ家畜の群れを見に出かけて、三日も家にいないことがあった。オーレンカには、サーシャがまるで見捨てられているように、家のなかで余計者になっているように、飢え死にしかけているように思われた。それで彼女はサーシャを自分の離れに移して、そこの小さな部屋に落ち着かせた。

## p075（3セグメント）
[0] そしてサーシャが彼女の離れで暮らすようになって、もう半年が過ぎている。
[1] 毎朝オーレンカは彼の部屋に入る。彼は頬の下に手を入れて、ぐっすり眠っている。息をしていない。
[2] 起こすのがかわいそうだ。

## p076（2セグメント）
[0] 「サーシェンカ」と、彼女は悲しげに言う。「起きなさい、かわいい子！
[1] ギムナジウムへ行く時間だよ」

## p077（2セグメント）
[0] 彼は起きて、服を着て、神さまに祈り、それからお茶を飲みに腰を下ろす。お茶を三杯飲み、大きなブーブリクを二つと、バターをつけたフランスパンを半分食べる。
[1] まだすっかり眠りから覚めきっていないので、機嫌が悪い。

## p078（4セグメント）
[0] 「おまえ、サーシェンカ、寓話をしっかり覚えていないね」と、オーレンカは言い、遠い旅に送り出すような目つきで彼を眺める。
[1] 「おまえのことでは気苦労だよ。
[2] しっかりやるんだよ、かわいい子、勉強するんだよ……
[3] 先生の言うことをよく聞くんだよ」

## p079（2セグメント）
[0] 「ああ、やめてください、お願いだから！」
[1] とサーシャは言う。

## p080（2セグメント）
[0] それから彼は通りを歩いてギムナジウムへ行く。自分は小さいのに、大きな帽子をかぶり、背には鞄を負っている。
[1] その後ろを音も立てずにオーレンカが歩く。

## p081（2セグメント）
[0] 「サーシェンカあ！」
[1] と彼女は呼びかける。

## p082（2セグメント）
[0] 彼が振り返ると、彼女はなつめやしの実か飴玉を彼の手に押しこむ。
[1] ギムナジウムのある横町へ曲がるころになると、背の高い、太った女が後ろをついてくるのが彼には恥ずかしくなる。彼は振り返ってこう言う。

## p083（1セグメント）
[0] 「おばさんはもう帰って。ここからはぼく一人で行けるから」

## p084（6セグメント）
[0] 彼女は足を止めて、彼がギムナジウムの昇り口に姿を消すまで、瞬きもせずに見送る。
[1] ああ、彼女はなんと彼を愛していることか！
[2] これまでの情愛のうち、どれ一つこれほど深くはなかった。彼女の魂がこれほど身を惜しまず、欲もなく、これほどの喜びをもって従ったことは、これまで一度もなかった。母の情がいよいよ強く燃えあがっているいまほどには。
[3] 自分には縁もないこの男の子のために、その頬のくぼみのために、あの帽子のために、彼女は自分の一生をなげ出しただろう。喜んで、胸のつまる涙とともになげ出しただろう。
[4] なぜ？
[5] さて、誰に分かるだろう——なぜなのかを？

## p085（1セグメント）
[0] サーシャをギムナジウムへ送っていくと、彼女は静かに家へ帰る。いかにも満ち足りて、落ち着いて、愛情にあふれている。この半年で若くなった顔は笑い、輝いている。行き会う人は彼女を見ると気持ちがよくなって、こう声をかける。

## p086（2セグメント）
[0] 「こんにちは、いとしい人のオーリガ・セミョーノヴナ！
[1] いかがですか、いとしい人？」

## p087（3セグメント）
[0] 「いまはギムナジウムで学ぶのが大変になりましてね」と、彼女は市場で話す。
[1] 「冗談ではありませんよ、きのうは一年生に寓話の暗記と、ラテン語の訳と、算術の問題まで出されて……
[2] これでは小さい子にできるものですか」

