# chekhov-07 ヴァーニカ（23段落）

## p001（4セグメント）
[3] 職人たちはおれを笑い物にして、居酒屋へウォッカを買いにやらせ、主人たちのきゅうりを盗んでこいと言いつけ、主人は手あたりしだいの物でおれを打ちます。
[4] それから食べる物が何もありません。
[5] 朝はパンをくれて、昼はカーシャ、夕方もやはりパンで、お茶とかシチーとかは、主人たちが自分で食ってしまいます。
[6] それから寝るのは土間だと言いつけられて、あの人たちの赤ん坊が泣くときは、おれはまるで眠れず、揺りかごを揺すっています。
[7] なつかしいおじいさん、神さまのお慈悲でおれをここから家へ、村へ連れていってください、おれにはもうどうにもなりません……
[8] おじいさんのおみ足に伏しておがみます、いつまでも神さまにおいのりします、おれをここから連れ出してください、でなければ死んでしまいます……」

## p011（1セグメント）
[0] ヴァーニカは口をゆがめ、黒い拳で目をこすって、しゃくりあげた。

## p012（5セグメント）
[0] 「おれはおじいさんのために嗅ぎ煙草をすってあげます」と彼はつづけた。「神さまにおいのりもします、何かあったら、シードルの山羊みたいにおれをぶってください。
[1] それから、もしおじいさんが、おれには勤め口がないと思うなら、おれはキリストさまの名にかけて番頭さんに長靴を磨かせてくれとたのみこみます、でなければフェージカの代わりに牧童の下働きに行きます。
[2] おじいさん、なつかしいおじいさん、もうどうにもなりません、ただ死ぬばかりです。
[3] 歩いて村へ逃げようとしたけれど、長靴がないし、寒さがおそろしいのです。
[4] それから、おれが大きくなったら、そのお返しにおじいさんを養って、誰にもひどいことはさせません、おじいさんが死んだら、おっかさんのペラゲーヤのときとまったく同じように、魂の安らぎのためにおいのりします。

## p013（5セグメント）
[0] 「それからモスクワは大きな町です。
[1] 家はどれも旦那さまのようで、馬がたくさんいて、羊はいなくて、犬もたちが悪くありません。
[2] ここでは子どもらが星をかついで歩かないし、聖歌隊席で歌わせてももらえないし、でも一度、ある店の窓で釣針が売られているのを見ました、糸までついていて、どんな魚にも使えて、とても上等で、一プードもあるなまずを持ちこたえる針まで一つあります。
[3] それから、旦那さまのと同じような鉄砲がいろいろある店も見ました、どれも百ルーブルはするでしょう……
[4] それから肉屋には、黒雷鳥もエゾ雷鳥も野兎もあって、それをどこで撃つのかは、店番たちが教えてくれません。

## p014（2セグメント）
[0] 「なつかしいおじいさん、旦那さまのところでお菓子のついたもみの木が立ったら、金紙を巻いたくるみを一つおれのために取って、緑の小箱にしまっておいてください。
[1] オーリガ・イグナーチエヴナのお嬢さまにたのんでください、ヴァーニカのためだと言って」

## p015（8セグメント）
[0] ヴァーニカはひきつるように息をつき、また窓をじっと見つめた。
[1] 思い出したのは、旦那さまのためのもみの木を採りに、いつも祖父が森へ行き、孫を連れていったことだった。
[2] 楽しい時分だった！
[3] 祖父もうなり、寒さもうなり、それを見てヴァーニカもうなった。
[4] もみの木を切り倒す前に、祖父はきまってパイプを一服吸い、長いこと嗅ぎ煙草をかぎ、凍えたヴァニューシカを見て笑う……
[5] 霜にくるまれた若いもみの木は、身じろぎもせずに立って、待っている。どれが死ぬことになるのか？
[6] どこからともなく、雪の山を越えて野兎が矢のように飛んでいく……
[7] 祖父は叫ばずにいられない。

## p016（2セグメント）
[0] 「捕まえろ、捕まえろ……捕まえろ！
[1] ああ、尻尾の短い悪魔め！」

## p017（4セグメント）
[0] 切り倒したもみの木を祖父は母屋へ引いていき、そこでは飾りつけがはじまるのだった……
[1] 誰よりも忙しく立ちまわったのは、ヴァーニカのお気に入りの、オーリガ・イグナーチエヴナのお嬢さまだった。
[2] ヴァーニカの母のペラゲーヤがまだ生きていて、旦那さまのところで女中をつとめていたころ、オーリガ・イグナーチエヴナはヴァーニカにあめ玉を食べさせ、手すさびに、読むこと、書くこと、百までの数え方、それにカドリールの踊り方まで教えこんだ。
[3] ペラゲーヤが死ぬと、みなし子のヴァーニカは使用人の台所の祖父のところへ追いやられ、台所からはモスクワの靴屋のアリャーヒンのところへ追いやられた……

## p018（6セグメント）
[0] 「来てください、なつかしいおじいさん」とヴァーニカはつづけた。「キリストさま神さまの名にかけておじいさんにおがみます、おれをここから連れていってください。
[1] みなし子のかわいそうなおれをあわれんでください、なにしろみんながおれをぶつし、ものが食べたくてたまらないし、さびしさは言いようもなくて、おれはずっと泣いています。
[2] それからこのあいだは、主人が木型で頭をなぐって、おれは倒れて、やっと正気にもどりました。
[3] おれの暮らしはもうだめです、どんな犬よりもひどいのです……
[4] それからアリョーナと、片目のエゴールカと、御者にもおじぎをおくります、それからおれのアコーディオンは誰にもやらないでください。
[5] おじいさんの孫、イヴァーン・ジューコフ、なつかしいおじいさん来てください」

## p019（2セグメント）
[0] ヴァーニカは書きうめた紙を四つに折り、前の日に一コペイカで買っておいた封筒に入れた……
[1] 少し考えてから、ペンをインクに浸して、宛名を書いた。

## p020（1セグメント）
[0] 村のおじいさんへ。

## p021（2セグメント）
[0] それから頭をかき、考えて、「コンスタンチーン・マカールィチへ」と書き足した。
[1] 手紙を書くのを邪魔されなかったのに満足して、帽子をかぶり、ちいさな毛皮外套も引っかけずに、シャツ一枚のまま通りへ駆け出した……

## p022（2セグメント）
[0] 前の日に訊いてまわった肉屋の店番たちは、手紙は郵便箱に入れるもので、箱からは、酔った御者と鳴りわたる鈴をつけた郵便のトロイカで、地の果てまで運ばれていくのだと彼に言った。
[1] ヴァーニカは最初の郵便箱まで駆けていき、かけがえのない手紙を投入口に押しこんだ……

## p023（4セグメント）
[0] 甘い望みに寝かしつけられて、一時間のちには彼はぐっすり眠っていた……
[1] 夢に見えたのはペチカだった。
[2] ペチカの上に祖父が腰かけ、裸足をぶらさげて、料理女たちに手紙を読んでやっている……
[3] ペチカのまわりをヴューンが歩き、尻尾を振っている……
