# chekhov-04 カメレオン（29段落）

## p001（5セグメント）
[5] 規則に従おうとしない、こういう旦那方には、もう目を向けるべき時だ！
[6] あのろくでなしめ、罰金を取られれば、犬だの、そのほかの野良の畜生だのがどういうものか、私が思い知らせてやる！
[7] 地獄を見せてやるぞ！……
[8] エルディーリン」と監督官は巡査に向かって言う。「誰の犬か調べて、調書を作れ！
[9] 犬は始末しなければならない。
[10] 今すぐだ！
[11] きっと狂犬だ……
[12] 誰の犬だと訊いているんだ？」

## p009（1セグメント）
[0] 「それは、たしかジガーロフ将軍の犬だ！」と群衆のなかから誰かが叫ぶ。

## p010（11セグメント）
[0] 「ジガーロフ将軍の？
[1] ふむ！……
[2] エルディーリン、私のコートを脱がせてくれ……
[3] ひどく暑い！
[4] 雨の前触れらしいな……
[5] ただ一つ分からないのは、どうしてこの犬がおまえに噛みつけたかだ」とオチュメーロフはフリューキンに向かって言う。
[6] 「指まで届くものか？
[7] 犬は小さいのに、おまえときたら、あんなにでかい図体をしている！
[8] おまえはきっと釘で指をほじくって、それから金をふんだくる考えを思いついたんだ。
[9] おまえたちは……そういう連中だからな！
[10] あなたたち悪党のことなら、よく知っている！」

## p011（2セグメント）
[0] 「そいつが、旦那様、面白半分に巻き煙草を犬の鼻面へ押しつけたんです。そしたら犬も馬鹿じゃないから、ぱくりと……
[1] ろくでもない男ですよ、旦那様！」

## p012（7セグメント）
[0] 「嘘をつけ、斜視野郎！
[1] 見てもいないくせに、いったいなぜ嘘をつく？
[2] こちらの旦那様は賢いお方だ。誰が嘘をつき、誰が神様の前に出たように、良心に従って話しているか、お分かりになる……
[3] 私が嘘をついているなら、治安判事に裁いてもらえばいい。
[4] 判事のところでは、法律にそう書いてある……
[5] 今はみんな平等だ……
[6] 私の兄だって憲兵隊にいるんだ……お知りになりたいなら……」

## p013（1セグメント）
[0] 「理屈を言うな！」

## p014（3セグメント）
[0] 「いや、これは将軍の犬じゃありません……」と巡査がさも思慮深げに言う。
[1] 「将軍のところには、こんなのはいません。
[2] いるのはほとんど鳥猟犬ばかりです……」

## p015（1セグメント）
[0] 「おまえ、それを確かに知っているのか？」

## p016（1セグメント）
[0] 「確かです、旦那様……」

## p017（10セグメント）
[0] 「私もそうだと知っている。
[1] 将軍の犬は高価な血統犬だが、これは——何だか分かったものじゃない！
[2] 毛並みもなければ、見栄えもない……ただの下等な代物だ……
[3] こんな犬を飼うとはな！？……
[4] あなたたちには頭というものがないのか？
[5] こんな犬がペテルブルグかモスクワに現れたら、どうなるか、あなたたちも分かるだろう？
[6] あちらでは法律など見向きもされず、その場ですぐ——息の根を止められる！
[7] おまえ、フリューキン、被害に遭ったんだから、この件をこのままにしておくな……
[8] 懲らしめる必要がある！
[9] もうその時だ……」

## p018（3セグメント）
[0] 「でも、ひょっとすると将軍の犬かもしれません……」と巡査が声に出して考える。
[1] 「鼻面にそう書いてあるわけじゃない……
[2] このあいだ、将軍の屋敷でこんなのを見ました」

## p019（1セグメント）
[0] 「そりゃあ将軍の犬に決まっている！」と群衆のなかから声がする。

## p020（12セグメント）
[0] 「ふむ！……
[1] なあエルディーリン、私にコートを着せてくれ……
[2] 風が出てきたようだ……
[3] ぞくぞくする……
[4] おまえが犬を将軍のところへ連れていって、そこで尋ねろ。
[5] 私が見つけて届けさせたと言うんだ……
[6] それから、犬を通りへ出さないようにとも言え……
[7] 高価な犬かもしれないのに、どこの豚野郎も巻き煙草を鼻へ突っこむようでは、たちまち駄目になってしまう。
[8] 犬は繊細な生き物だ……
[9] おい、うすのろ、手を下ろせ！
[10] その間抜けな指を見せびらかすんじゃない！
[11] おまえ自身が悪い！……」

## p021（5セグメント）
[0] 「将軍家の料理人が来るぞ。あいつに訊いてみよう……
[1] おい、プローホル！
[2] ちょっとこっちへ来てくれ！
[3] この犬を見てくれ……
[4] あなたのところの犬か？」

## p022（2セグメント）
[0] 「何を言い出すんだ！
[1] こんなのは、うちには生まれてこのかたいなかった！」

## p023（5セグメント）
[0] 「こんなことは、もう長々と訊くまでもない」とオチュメーロフは言う。
[1] 「こいつは野良犬だ！
[2] ここで長々と話していることはない……
[3] 野良犬だと言った以上、つまり野良犬だ……
[4] 始末する、それだけだ」

## p024（4セグメント）
[0] 「これは、うちの犬じゃない」とプローホルは続ける。
[1] 「このあいだいらした、将軍のご兄弟の犬だ。
[2] うちの旦那様はボルゾイがお好きじゃない。
[3] ご兄弟のほうがお好きなんだ……」

## p025（5セグメント）
[0] 「えっ、ご兄弟がおいでになったのか？
[1] ヴラジーミル・イヴァーヌィチが？」
[2] とオチュメーロフは尋ね、その顔いっぱいに感激の笑みが広がる。「いやはや、神様！
[3] 私はちっとも知らなかった！
[4] 遊びにいらしたのか？」

## p026（1セグメント）
[0] 「遊びに……」

## p027（14セグメント）
[0] 「いやはや、神様……
[1] ご兄弟にお会いになりたくて……
[2] それなのに、私はちっとも知らなかった！
[3] では、これはあの方のわんちゃんか？
[4] 実にうれしい……
[5] 連れていけ……
[6] なかなかの子犬じゃないか……
[7] こんなにすばしこい……
[8] こいつの指を、ぱくり！
[9] ははは……
[10] ほら、おまえ、どうして震えている？
[11] ううう……
[12] うう……
[13] 怒っているんだな、このいたずら者め……このちびすけめ……」

## p028（2セグメント）
[0] プローホルは犬を呼び、連れて材木置場から立ち去る……
[1] 群衆はフリューキンを見て大笑いする。

## p029（1セグメント）
[0] 「おまえのことは、あとで片をつけてやる！」とオチュメーロフは彼を脅し、外套の前をかき合わせながら、市場の広場をまた歩いていく。
