# chekhov-09 学生（20段落）

## p001（6セグメント）
[1] 焚き火は音を立てて熱く燃え、鋤き返された土をまわり遠くまで照らしていた。
[2] 寡婦のヴァシリーサは、背の高い、ふっくらした老女で、男物の羊革の半外套を着て、火のそばに立ち、考えこんで火を見ていた。娘のルケーリヤは、小柄で、あばたのある、少し愚かしい顔をしていて、地面に座って鍋と匙を洗っていた。
[3] どう見ても、いま夕食を終えたばかりだった。
[4] 男たちの声が聞こえていた。ここの雇い人たちが川で馬に水を飲ませているのだった。

## p004（2セグメント）
[0] 「これでまた冬が戻ってきましたね」と、焚き火に近づきながら学生は言った。
[1] 「こんばんは！」

## p005（1セグメント）
[0] ヴァシリーサはびくりとしたが、すぐに彼だと分かって、愛想よく微笑んだ。

## p006（2セグメント）
[0] 「気がつきませんでしたよ、堪忍してくださいな」と彼女は言った。
[1] 「お金持ちになりますよ」

## p007（2セグメント）
[0] 少し言葉を交わした。
[1] ヴァシリーサは世間を見てきた女で、昔は主家で乳母を、のちには子守を勤めていたから、物の言い方が丁寧で、その顔からはやわらかな、落ち着いた微笑が終始消えなかった。娘のルケーリヤのほうは、夫に殴られて縮みきった百姓女で、学生に目を細めて見るばかりで黙っていて、その顔つきは、耳も口もきかない人のように奇妙だった。

## p008（4セグメント）
[0] 「ちょうどこんなふうに、寒い夜、使徒ペテロも焚き火で暖まっていたんです」と、火に手を差しのべながら学生は言った。
[1] 「つまり、あのころも寒かったんですよ。
[2] ああ、あれは何という恐ろしい夜だったか、おばあさん！
[3] この上なく陰気な、長い夜だったんです！」

## p009（1セグメント）
[0] 彼はまわりの暗がりを見まわし、ひきつるように頭を振って、こう尋ねた。

## p010（1セグメント）
[0] 「おまえも十二福音には行ったでしょう？」

## p011（1セグメント）
[0] 「行きましたよ」とヴァシリーサは答えた。

## p012（7セグメント）
[0] 「覚えているでしょう、最後の晩餐のとき、ペテロはイエスにこう言ったんです。『あなたとご一緒なら、牢へでも死へでも行く覚悟です』
[1] ところが主はそれに答えて、『ペテロ、おまえに言っておく。今日、けい、つまり鶏が鳴かないうちに、おまえは三度、私を知らないと言うだろう』
[2] 晩餐のあと、イエスは園で死ぬほど悲しんで祈っていた。ところが気の毒なペテロは心が疲れ果て、力が抜けて、瞼が重くなり、どうしても眠気に勝てなかった。
[3] 眠ってしまった。
[4] それから、おまえも聞いているでしょう、ユダがその同じ夜にイエスに口づけをして、イエスを苛む者たちの手に引き渡した。
[5] 縛られたイエスは大祭司のもとへ引かれて行き、殴られた。ペテロは疲れきって、悲しみと不安に苛まれて、分かりますか、眠りも足りないままに、この地上でいまにも何か恐ろしいことが起こるという予感を抱きながら、あとをついて行った……
[6] ペテロは身を忘れるほど激しくイエスを愛していた。それがいま、遠くから、イエスが殴られるのを見ていたんです……

## p013（1セグメント）
[0] ルケーリヤは匙を置いて、動かない目を学生にじっと向けた。

## p014（12セグメント）
[0] 「大祭司のところに着くと」と彼は続けた。「イエスの取り調べが始まって、そのあいだ雇い人たちは、寒かったので中庭の真ん中に火を起こして、暖まっていた。
[1] ペテロも彼らと一緒に焚き火のそばに立って、ちょうど今の私のように暖まっていた。
[2] ひとりの女が彼を見て言った。『この人もイエスと一緒にいた』——つまり、この男も取り調べに連れて行かなければいけない、というわけです。
[3] そして火のそばにいた雇い人たちはみな、きっと疑わしそうに、厳しい目で彼を見たのでしょう。というのは、ペテロがうろたえて、『私はあの人を知らない』と言ったからです。
[4] しばらくして、また誰かが彼をイエスの弟子のひとりだと見て取って、『おまえもあの連中のひとりだ』と言った。
[5] だがペテロはまた否んだ。
[6] そして三度目に、誰かが彼に向かってこう言った。『今日、園であの人と一緒にいたのは、おまえじゃなかったか』
[7] 彼は三度目も否んだ。
[8] その三度目のすぐあとに鶏が鳴いた。ペテロは遠くからイエスを見て、晩餐の席でイエスが自分に言った言葉を思い出した……
[9] 思い出して、はっと目が覚めて、中庭から出て行って、苦く苦く泣いた。
[10] 福音書にはこうあります。『かれ外に出でて痛く泣けり』
[11] 私には思い浮かびます。静かな静かな、暗い暗い園、その静けさのなかに、こもった嗚咽がかすかに聞こえている……」

## p015（2セグメント）
[0] 学生は溜息をついて、考えこんだ。
[1] ヴァシリーサは微笑みを浮かべたまま、ふいにしゃくり上げ、大粒の、あふれるような涙が頬を流れ落ちて、自分の涙を恥じるかのように、袖で顔を火から隠した。ルケーリヤは動かない目で学生を見つめたまま赤くなり、その顔つきは、強い痛みをこらえている人のように重く、張りつめたものになった。

## p016（4セグメント）
[0] 雇い人たちが川から戻ってくるところで、そのうちの一人は馬に乗ってもう近くまで来ていて、焚き火の光がその男の上で揺れていた。
[1] 学生は寡婦たちにおやすみを言って、先へ歩いて行った。
[2] またあたりは暗くなり、手が冷えはじめた。
[3] 風は激しく吹き、まったく冬が戻ってきていて、あさってが復活祭だとはとても思えなかった。

## p017（1セグメント）
[0] いま学生はヴァシリーサのことを考えていた。あの女が泣いたのなら、つまり、あの恐ろしい夜にペテロの身に起こったことのすべてが、あの女に何らかの関わりを持っているということだ……

## p018（4セグメント）
[0] 彼はふり返った。
[1] ひとつだけの火が暗闇のなかで静かに瞬いていて、そのそばにはもう人の姿は見えなかった。
[2] 学生はまた考えた。ヴァシリーサが泣き、その娘がうろたえたのなら、明らかに、いま自分が語ったこと、十九世紀も前に起こったことは、現在に——あの二人の女に、おそらくはこの荒れはてた村に、自分自身に、すべての人間に、関わりを持っているのだ。
[3] 老女が泣いたのは、自分が人の心を打つ語り方を知っているからではなく、ペテロがその老女に近しいからであり、ペテロの心のなかで起こったことに、老女が全身をあげて関わっているからなのだ。

## p019（3セグメント）
[0] すると喜びがふいに彼の心のなかで波立ちはじめ、彼は息をつくために一分ほど立ち止まりさえした。
[1] 過去は、と彼は考えた、一つが一つから流れ出た出来事の、途切れない鎖で現在とつながっている。
[2] そして彼には、いまその鎖の両方の端を見たように思われた。片方の端に触れたとたんに、もう片方が震えたのだ。

## p020（1セグメント）
[0] そして渡し船で川を渡り、それから丘を登りながら、生まれ故郷の村と、冷たい深紅の夕映えが細い帯になって光っている西のほうをながめていたときには、こう考えていた。あそこで、あの園で、大祭司の中庭で、人間の生を導いていた真理と美は、今日この日まで途切れることなく続いてきたのであり、見るところそれは常に、人間の生の、またおよそ地上のことがらの主なものをなしてきたのだ。そして、若さの、健康の、力の感覚——彼はまだ二十二歳だった——と、言いあらわしようもなく甘い幸福の予感、知られることのない、秘められた幸福の予感とが、少しずつ彼を捉えていって、生は彼にとって、心を奪うような、すばらしい、高い意味に満ちたものに思われた。
